item1,item2,pathtoitem1,pathtoitem2
Mixer grinder and food processor,IS 4250 : 1980,shoot-em-standards/assets/product_49.png,shoot-em-standards/assets/product_49_standard.png
Exhaust fan,IS 2312 : 1967,shoot-em-standards/assets/product_50.png,shoot-em-standards/assets/product_50_standard.png
Electric coffee maker,IS 14144 : 1994,shoot-em-standards/assets/product_51.png,shoot-em-standards/assets/product_51_standard.png
Microwave ovens,IS 11676 : 1995,shoot-em-standards/assets/product_52.png,shoot-em-standards/assets/product_52_standard.png
Electric stoves,IS 2994 : 1992,shoot-em-standards/assets/product_53.png,shoot-em-standards/assets/product_53_standard.png
Electric Gas Lighters,IS 10975 : 1984,shoot-em-standards/assets/product_54.png,shoot-em-standards/assets/product_54_standard.png
Electric toasters,IS 1287 : 1993,shoot-em-standards/assets/product_55.png,shoot-em-standards/assets/product_55_standard.png
Toasters grills roasters and similar appliances - Safety,IS 302 (Part 2/Sec 9) : 2009,shoot-em-standards/assets/product_56.png,shoot-em-standards/assets/product_56_standard.png
Aluminium foil used for food packaging,IS 15392 : 2003,shoot-em-standards/assets/product_57.png,shoot-em-standards/assets/product_57_standard.png
Absorbent        Cotton Gauze,IS 758 : 1988,shoot-em-standards/assets/product_58.png,shoot-em-standards/assets/product_58_standard.png
Cotton Bandage Cloth,IS 863 : 1988,shoot-em-standards/assets/product_59.png,shoot-em-standards/assets/product_59_standard.png
Crepe Bandage,IS 4605 : 1981,shoot-em-standards/assets/product_60.png,shoot-em-standards/assets/product_60_standard.png
Plaster      of      Paris Bandage,IS 4738 : 2020,shoot-em-standards/assets/product_61.png,shoot-em-standards/assets/product_61_standard.png
Sanitary napkins,IS 5405 : 2019,shoot-em-standards/assets/product_62.png,shoot-em-standards/assets/product_62_standard.png
First Aid Dressings,IS 11163 : 2021,shoot-em-standards/assets/product_63.png,shoot-em-standards/assets/product_63_standard.png
Elastic bandage,IS 16111 : 2013,shoot-em-standards/assets/product_64.png,shoot-em-standards/assets/product_64_standard.png
Surgical face masks,IS 16289 : 2014,shoot-em-standards/assets/product_65.png,shoot-em-standards/assets/product_65_standard.png
Absorbent Cotton,IS 16468 : 2016,shoot-em-standards/assets/product_66.png,shoot-em-standards/assets/product_66_standard.png
Adult      Incontinence Diaper,IS 17508 : 2020,shoot-em-standards/assets/product_67.png,shoot-em-standards/assets/product_67_standard.png
Baby Diaper,IS 17509 : 2021,shoot-em-standards/assets/product_68.png,shoot-em-standards/assets/product_68_standard.png
Reusable       Sanitary Pad,IS 17514 : 2021,shoot-em-standards/assets/product_69.png,shoot-em-standards/assets/product_69_standard.png
Caps,IS 17629 : 2021,shoot-em-standards/assets/product_70.png,shoot-em-standards/assets/product_70_standard.png
Bedsheet  and  Pillow Cover,IS 17630 : 2021,shoot-em-standards/assets/product_71.png,shoot-em-standards/assets/product_71_standard.png
Nonwoven Wipes,IS 17787 : 2021,shoot-em-standards/assets/product_72.png,shoot-em-standards/assets/product_72_standard.png
Skin powder,IS 3959 : 2004,shoot-em-standards/assets/product_73.png,shoot-em-standards/assets/product_73_standard.png
Skin Powder for Infants,IS 5339 : 2004,shoot-em-standards/assets/product_74.png,shoot-em-standards/assets/product_74_standard.png
Tooth Powder,IS 5383 : 2021,shoot-em-standards/assets/product_75.png,shoot-em-standards/assets/product_75_standard.png
Tooth Paste,IS 6356 : 2021,shoot-em-standards/assets/product_76.png,shoot-em-standards/assets/product_76_standard.png
Skin creams,IS 6608 : 2004,shoot-em-standards/assets/product_77.png,shoot-em-standards/assets/product_77_standard.png
Hair oils,IS 7123 : 2019,shoot-em-standards/assets/product_78.png,shoot-em-standards/assets/product_78_standard.png
Nail polish Nail Enamel,IS 9245 : 1994,shoot-em-standards/assets/product_79.png,shoot-em-standards/assets/product_79_standard.png
After-Shave Lotion,IS 9255 : 2020,shoot-em-standards/assets/product_80.png,shoot-em-standards/assets/product_80_standard.png
Shaving cream,IS 9740 : 2018,shoot-em-standards/assets/product_81.png,shoot-em-standards/assets/product_81_standard.png
Cosmetic pencils,IS 9832 : 2002,shoot-em-standards/assets/product_82.png,shoot-em-standards/assets/product_82_standard.png
Lipstick,IS 9875 : 2018,shoot-em-standards/assets/product_83.png,shoot-em-standards/assets/product_83_standard.png
Powder Hair Dyes,IS 10350 : 2020,shoot-em-standards/assets/product_84.png,shoot-em-standards/assets/product_84_standard.png
Henna Mehendi powder,IS 11142 : 2019,shoot-em-standards/assets/product_85.png,shoot-em-standards/assets/product_85_standard.png
